# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1,mean_episode_return_2,loss_2
0,1742150046.080829,0,0,0,0.6756756901741028,0.6705181002616882,0,0
1,1742150046.0923624,3200,0.3287671208381653,0.3170754909515381,0.6756756901741028,0.6705181002616882,0,0
2,1742150050.918653,6400,0.3287671208381653,0.3170754909515381,0.6756756901741028,0.6705181002616882,0.6710526347160339,0.7293922901153564
